PolicyID,Period,EarnedExposure,Territory,AgeBand,VehicleClass,Violations,CreditTier,AnnualMileage,GaragingDensity,ViolationsNum,PriorLapses
200113,2023Q4,0.976,T5,40-64,Midsize,Minor,C,8842,0.333,1,0
200114,2024Q1,0.793,T3,25-39,Pickup,Major,B,12025,2.138,3,1
200115,2023Q4,0.67,T1,40-64,Compact,Minor,B,8746,0.623,1,0
200116,2023Q1,1.115,T1,65+,Pickup,Minor,D,9811,3.522,1,1
200117,2024Q1,1.424,T1,40-64,Compact,Minor,C,13092,4.686,1,0
200118,2024Q1,0.764,T4,<25,Midsize,None,C,11131,2.843,0,0
200119,2024Q1,1.375,T4,<25,Midsize,None,D,12173,3.581,0,0
200120,2024Q1,1.163,T5,<25,Compact,Minor,B,8197,4.518,1,0
200121,2023Q1,0.518,T2,25-39,SUV,None,B,11938,4.911,0,0
200122,2023Q1,1.349,T1,65+,SUV,None,A,17341,4.003,0,1
200123,2023Q2,0.896,T4,25-39,Pickup,None,C,9339,3.946,0,1
200124,2023Q1,1.345,T4,25-39,SUV,None,D,9698,4.731,0,0
200125,2023Q1,0.699,T4,25-39,Midsize,Minor,A,12645,3.266,1,0
200126,2024Q1,1.019,T1,65+,Compact,None,A,12386,2.185,0,0
200127,2023Q3,0.705,T1,25-39,SUV,Minor,C,4305,0.959,1,2
200128,2023Q3,0.989,T2,25-39,Compact,None,C,8174,1.014,0,0
200129,2023Q1,1.422,T2,25-39,Pickup,Minor,A,9903,3.004,1,0
200130,2023Q2,1.006,T2,40-64,Midsize,None,C,8360,3.212,0,1
200131,2023Q1,1.493,T5,40-64,Compact,Major,C,12931,1.269,3,0
200132,2023Q3,0.771,T4,25-39,Compact,None,C,11752,4.714,0,0
200133,2024Q1,1.103,T5,40-64,SUV,Minor,A,10842,1.815,1,0
200134,2024Q1,1.467,T1,65+,Pickup,None,D,9447,2.794,0,0
200135,2023Q2,1.255,T1,40-64,SUV,Major,C,4830,2.466,3,0
200136,2023Q3,1.192,T3,65+,Pickup,None,D,13019,1.507,0,0
200137,2023Q4,1.243,T1,<25,Midsize,None,A,8277,4.209,0,0
200138,2023Q2,0.83,T4,40-64,SUV,None,A,10914,4.59,0,0
200139,2024Q1,0.791,T5,25-39,Pickup,None,B,8576,3.785,0,1
200140,2023Q4,0.645,T4,65+,Compact,None,A,13902,2.677,0,0
200141,2023Q2,1.103,T2,<25,Pickup,None,C,13365,2.718,0,0
200142,2023Q2,1.422,T3,25-39,Compact,None,A,10023,4.734,0,0
200143,2023Q1,1.265,T4,40-64,SUV,Minor,C,7182,4.984,1,0
200144,2023Q2,1.486,T3,40-64,Midsize,None,C,11438,1.441,0,0
200145,2023Q4,1.492,T3,40-64,Compact,None,B,6420,4.089,0,0
200146,2023Q2,0.934,T3,25-39,Compact,None,C,9698,0.738,0,0
200147,2023Q1,1.017,T5,65+,Compact,None,B,16483,2.952,0,1
200148,2023Q2,1.324,T1,40-64,Pickup,None,C,14683,3.569,0,0
200149,2023Q3,1.266,T3,40-64,SUV,None,A,15806,1.867,0,0
200150,2023Q3,1.275,T2,65+,Compact,None,A,13746,1.855,0,0
200151,2023Q3,1.058,T3,40-64,Compact,None,D,13198,3.06,0,1
200152,2023Q2,1.087,T3,65+,Pickup,None,C,15515,3.343,0,0
200153,2023Q4,1.343,T3,40-64,SUV,None,C,8527,3.471,0,0
200154,2023Q3,1.444,T5,65+,Pickup,None,B,8507,3.748,0,0
200155,2023Q4,1.277,T5,25-39,Midsize,None,C,13294,4.157,0,0
200156,2023Q2,1.271,T3,<25,Midsize,None,B,10900,3.46,0,0
200157,2023Q2,0.658,T4,65+,Midsize,Minor,D,10165,2.588,1,0
200158,2023Q4,1.356,T1,40-64,Compact,None,D,8174,1.792,0,0
200159,2023Q4,1.445,T3,25-39,Compact,Major,B,10088,1.05,3,0
200160,2023Q3,0.773,T2,65+,Pickup,Minor,A,12103,1.451,1,0
200161,2024Q1,0.691,T2,40-64,Compact,None,B,7663,3.686,0,0
200162,2023Q1,0.665,T2,40-64,Pickup,Major,D,13118,0.368,3,2
200163,2023Q4,0.523,T5,65+,Midsize,None,C,15750,2.628,0,1
200164,2023Q3,0.907,T2,40-64,Pickup,None,A,11927,1.231,0,0
200165,2023Q4,0.679,T4,<25,Pickup,None,A,14297,2.864,0,0
200166,2023Q3,0.627,T1,65+,Pickup,None,B,6982,3.835,0,0
200167,2023Q3,1.229,T2,<25,Compact,None,B,9759,0.955,0,0
200168,2023Q4,1.262,T3,65+,Compact,None,B,15752,0.379,0,0
200169,2023Q2,1.202,T3,65+,Midsize,Major,C,7074,4.344,3,0
200170,2023Q4,1.166,T3,65+,SUV,None,B,13794,0.345,0,1
200171,2023Q2,1.018,T4,25-39,Midsize,None,B,2000,4.551,0,0
200172,2023Q4,0.561,T4,25-39,Midsize,None,A,11376,4.001,0,0
200173,2023Q4,1.478,T1,65+,SUV,None,A,15399,3.643,0,0
200174,2023Q4,1.486,T5,40-64,Compact,None,D,10247,2.445,0,0
200175,2023Q4,1.385,T4,<25,Midsize,None,B,10136,2.979,0,0
200176,2023Q1,1.262,T3,40-64,Midsize,Minor,C,8283,0.959,1,1
200177,2023Q1,1.266,T3,65+,Midsize,Minor,C,15887,2.842,1,0
200178,2024Q1,1.096,T4,65+,Compact,None,B,7872,2.127,0,0
200179,2024Q1,0.612,T5,25-39,Midsize,None,B,10975,3.672,0,0
200180,2023Q1,1.322,T4,40-64,Midsize,Minor,A,13874,3.547,1,0
200181,2023Q1,1.177,T1,25-39,Pickup,None,C,15379,2.633,0,0
200182,2024Q1,0.578,T1,<25,Compact,None,C,11919,4.253,0,1
200183,2023Q2,1.107,T4,65+,SUV,None,B,13692,4.239,0,0
200184,2023Q3,0.687,T5,<25,Pickup,Minor,C,10265,3.508,1,0
200185,2023Q2,1.057,T4,65+,Compact,None,D,9228,2.917,0,1
200186,2024Q1,0.75,T1,65+,Compact,None,D,7708,2.558,0,0
200187,2023Q2,1.138,T2,<25,Pickup,None,C,10646,1.873,0,0
200188,2023Q4,1.276,T3,25-39,SUV,None,D,10904,2.907,0,0
200189,2024Q1,0.55,T4,25-39,SUV,None,B,9600,1.194,0,0
200190,2023Q3,0.573,T4,25-39,Midsize,Minor,A,7754,1.853,1,0
200191,2023Q3,1.498,T5,40-64,Midsize,Minor,B,12432,1.892,1,0
200192,2024Q1,1.183,T5,40-64,Pickup,Minor,B,14773,4.5,1,0
200193,2023Q4,0.809,T1,40-64,Midsize,None,A,14385,2.131,0,0
200194,2023Q1,0.738,T3,65+,Pickup,None,B,8306,3.407,0,1
200195,2023Q4,0.919,T3,<25,Pickup,None,D,10304,1.147,0,0
200196,2023Q4,1.446,T2,25-39,Midsize,None,C,8019,4.343,0,1
200197,2023Q3,1.189,T5,<25,SUV,None,A,9433,4.317,0,0
200198,2023Q2,1.494,T2,65+,SUV,None,A,3261,4.448,0,0
200199,2023Q2,1.05,T1,25-39,Compact,None,D,8519,1.855,0,0
200200,2023Q2,0.923,T5,40-64,Midsize,None,C,10612,2.64,0,1
200201,2023Q3,0.705,T5,<25,Compact,None,A,11815,4.131,0,0
200202,2023Q3,1.038,T3,65+,Compact,Minor,C,10596,1.397,1,0
200203,2023Q3,1.144,T3,<25,Compact,None,C,10540,1.878,0,1
200204,2023Q1,1.015,T4,40-64,Pickup,Minor,A,15506,4.198,1,0
200205,2023Q1,0.634,T1,40-64,Midsize,Minor,D,10215,4.553,1,1
200206,2023Q2,0.668,T3,<25,Midsize,None,A,9327,1.394,0,0
200207,2023Q4,1.288,T3,40-64,Midsize,None,C,15720,2.549,0,0
200208,2023Q4,0.714,T4,25-39,Midsize,None,A,14124,0.942,0,0
200209,2023Q4,0.605,T5,65+,SUV,None,B,7852,4.557,0,1
200210,2023Q2,0.664,T5,40-64,Midsize,None,C,10836,0.709,0,0
200211,2023Q4,1.399,T4,25-39,Pickup,None,D,6634,1.128,0,0
200212,2023Q2,1.123,T5,25-39,Compact,None,D,10971,3.494,0,1
200213,2023Q3,1.272,T3,<25,Pickup,None,C,12461,3.765,0,0
200214,2024Q1,0.729,T3,<25,Compact,None,A,18500,0.494,0,2
200215,2023Q2,1.129,T5,<25,Midsize,None,A,10181,4.618,0,0
200216,2023Q1,0.694,T5,25-39,SUV,Major,C,7416,2.905,3,0
200217,2023Q2,1.021,T3,<25,SUV,Major,D,7428,3.022,3,0
200218,2024Q1,0.573,T3,40-64,Midsize,None,D,19157,1.276,0,0
200219,2023Q3,1.017,T1,25-39,Midsize,None,D,9882,1.88,0,0
200220,2023Q1,0.729,T3,<25,Midsize,Minor,A,9177,1.463,1,0
200221,2023Q2,0.721,T4,25-39,Compact,None,B,8289,4.889,0,0
200222,2023Q3,0.996,T5,40-64,Midsize,None,D,9630,1.88,0,0
200223,2024Q1,1.073,T4,<25,Pickup,None,C,10174,0.811,0,0
200224,2024Q1,1.202,T3,<25,Midsize,Minor,A,13801,4.781,1,0
200225,2024Q1,0.804,T3,40-64,Pickup,None,C,7895,2.81,0,0
200226,2023Q4,0.788,T1,<25,SUV,None,D,8065,4.972,0,0
200227,2023Q4,0.584,T2,25-39,SUV,Minor,A,11482,1.799,1,0
200228,2023Q2,0.818,T5,40-64,SUV,None,C,13131,1.642,0,0
200229,2024Q1,0.846,T2,25-39,Midsize,None,A,9010,2.341,0,0
200230,2023Q1,0.993,T5,40-64,Midsize,None,D,9279,4.39,0,0
200231,2024Q1,0.916,T2,40-64,Pickup,None,B,9821,4.205,0,0
200232,2023Q1,1.198,T5,<25,SUV,None,A,9739,2.295,0,1
200233,2023Q1,0.953,T5,<25,Compact,None,A,3696,1.147,0,0
200234,2023Q1,1.341,T3,<25,Midsize,None,D,11504,4.695,0,0
200235,2023Q2,1.031,T3,25-39,Pickup,None,D,14149,2.485,0,0
200236,2023Q1,1.088,T3,65+,SUV,Major,B,14163,4.776,3,0
200237,2024Q1,1.197,T3,25-39,Pickup,None,D,13448,1.174,0,1
200238,2023Q4,1.175,T2,65+,Pickup,Major,D,11144,0.327,3,0
200239,2023Q3,1.434,T5,25-39,Midsize,None,B,11601,3.184,0,0
200240,2024Q1,1.241,T3,25-39,Pickup,None,B,9026,3.968,0,0
200241,2023Q1,1.455,T3,40-64,Compact,None,C,12194,4.862,0,0
200242,2023Q2,0.842,T2,65+,SUV,Minor,B,11276,1.569,1,0
200243,2023Q3,1.473,T2,65+,SUV,None,B,9648,4.765,0,0
200244,2023Q3,1.099,T4,40-64,Compact,None,B,14630,1.52,0,0
200245,2023Q3,0.81,T3,25-39,Compact,Major,B,12711,1.859,3,0
200246,2023Q3,0.638,T2,25-39,Midsize,None,B,11726,2.305,0,0
200247,2023Q4,1.018,T2,65+,Midsize,Minor,A,9964,0.556,1,0
200248,2023Q3,1.463,T5,<25,SUV,None,B,11623,4.485,0,1
200249,2023Q2,1.342,T5,65+,Midsize,None,B,7771,4.006,0,0
200250,2023Q1,1.247,T5,40-64,Compact,None,D,8297,4.615,0,0
200251,2024Q1,0.554,T5,65+,Compact,None,B,11916,4.896,0,0
200252,2023Q2,1.274,T1,40-64,Pickup,None,A,11569,3.11,0,0
200253,2023Q2,1.188,T4,25-39,Midsize,Major,A,13634,4.622,3,0
200254,2023Q3,1.338,T5,<25,Pickup,Major,A,11522,2.018,3,0
200255,2023Q1,0.605,T2,40-64,Compact,None,B,9050,1.256,0,1
200256,2023Q4,0.894,T4,65+,Compact,None,A,11681,1.589,0,0
200257,2023Q2,0.837,T3,<25,Compact,None,C,8575,4.621,0,0
200258,2023Q4,1.272,T1,40-64,Pickup,None,A,10923,1.547,0,0
200259,2023Q4,1.26,T2,65+,Midsize,Major,D,3303,4.066,3,0
200260,2023Q4,1,T4,<25,SUV,Major,B,12047,4.686,3,0
200261,2023Q2,0.864,T1,25-39,SUV,None,D,8706,3.272,0,3
200262,2023Q2,0.603,T5,65+,Pickup,Minor,D,10428,0.638,1,0
200263,2023Q2,0.652,T3,65+,Pickup,None,C,10113,1.371,0,1
200264,2023Q4,0.51,T1,40-64,Pickup,Minor,B,11824,3.386,1,0
200265,2023Q2,1.275,T2,<25,Midsize,Major,C,7632,4.512,3,1
200266,2023Q2,1.42,T1,<25,Compact,None,A,3851,1.582,0,0
200267,2023Q3,0.533,T1,<25,SUV,None,A,10973,2.879,0,0
200268,2023Q2,1.295,T5,40-64,Midsize,None,A,11470,4.199,0,1
200269,2023Q1,0.776,T5,<25,Pickup,Minor,C,11471,1.185,1,1
200270,2023Q1,1.015,T3,65+,Compact,None,B,6247,1.736,0,0
200271,2024Q1,1.193,T3,25-39,Midsize,Minor,B,9652,1.482,1,1
200272,2023Q3,0.835,T5,25-39,Pickup,None,B,11389,2.773,0,0
200273,2023Q4,1.482,T2,65+,SUV,Minor,C,9397,1.905,1,0
200274,2023Q1,1.486,T3,<25,Compact,Major,B,12231,2.068,3,1
200275,2024Q1,1.172,T4,40-64,Compact,Major,A,10666,4.474,3,0
200276,2023Q3,1.484,T3,25-39,SUV,Minor,A,6688,1.19,1,0
200277,2023Q3,0.618,T5,<25,Midsize,None,A,14648,3.106,0,0
200278,2023Q2,0.512,T2,25-39,Pickup,None,C,5942,4.616,0,0
200279,2023Q1,1.351,T2,25-39,Midsize,None,C,11837,4.012,0,0
200280,2023Q1,1.192,T2,65+,SUV,None,D,10285,4.539,0,0
200281,2023Q3,0.812,T1,65+,Compact,Minor,C,9255,3.618,1,0
200282,2024Q1,1.025,T2,25-39,Midsize,None,C,10532,1.329,0,2
200283,2023Q2,0.898,T1,25-39,Compact,None,B,12687,3.207,0,1
200284,2023Q2,0.954,T4,65+,SUV,None,C,13595,3.424,0,0
200285,2023Q4,1.07,T1,25-39,Pickup,None,D,12875,1.475,0,0
200286,2023Q3,1.017,T1,40-64,Compact,None,A,14655,3.48,0,1
200287,2024Q1,1.115,T1,65+,Compact,None,B,8215,4.874,0,0
200288,2023Q3,0.832,T5,<25,Compact,None,B,11829,4.524,0,0
200289,2023Q2,1.062,T1,65+,Midsize,Minor,D,9805,4.226,1,0
200290,2023Q1,1.363,T1,25-39,SUV,None,D,6897,3.462,0,2
200291,2023Q4,0.862,T4,65+,Compact,Minor,A,13153,4.984,1,0
200292,2023Q2,0.781,T2,65+,Compact,None,D,10062,2.605,0,0
200293,2023Q4,0.989,T2,65+,Pickup,None,B,11383,4.581,0,0
200294,2023Q1,0.821,T4,<25,SUV,None,A,9609,3.514,0,0
200295,2023Q1,1.403,T1,65+,Midsize,None,B,11422,3.714,0,0
200296,2023Q2,1.107,T3,40-64,Pickup,None,D,15019,1.195,0,0
200297,2024Q1,1.241,T4,25-39,Pickup,Minor,A,19208,3.843,1,0
200298,2023Q4,0.53,T1,<25,Midsize,Minor,D,10520,0.725,1,1
200299,2023Q3,0.598,T2,40-64,Midsize,None,C,14227,4.249,0,0
200300,2023Q3,0.903,T1,40-64,Midsize,None,B,12430,2.263,0,0
200301,2023Q1,0.917,T2,25-39,SUV,Major,D,11084,2.012,3,1
200302,2023Q3,0.566,T3,25-39,SUV,Minor,A,11426,0.47,1,0
200303,2023Q4,1.294,T4,25-39,Pickup,None,B,10611,0.366,0,0
200304,2023Q3,1.064,T3,<25,Midsize,None,A,5532,2.99,0,1
200305,2023Q1,0.999,T2,<25,Midsize,None,B,8991,2.811,0,0
200306,2023Q3,1.175,T3,65+,Pickup,Minor,A,10732,2.806,1,0
200307,2023Q2,1.193,T4,40-64,Pickup,None,C,14042,2.405,0,0
200308,2023Q1,0.831,T1,25-39,SUV,Minor,B,10139,0.558,1,0
200309,2023Q4,0.976,T1,65+,Compact,None,D,11823,3.676,0,0
200310,2023Q2,1.081,T5,40-64,Midsize,None,D,8548,0.689,0,0
200311,2023Q4,0.504,T4,65+,Midsize,None,C,14482,1.825,0,0
200312,2023Q1,0.641,T5,<25,Pickup,Minor,A,8116,3.992,1,0
200313,2023Q3,0.89,T1,40-64,SUV,Major,C,12751,4.75,3,0
200314,2023Q4,0.545,T5,25-39,SUV,Minor,B,14647,1.302,1,0
200315,2023Q4,0.554,T2,65+,Pickup,None,D,8562,4.257,0,0
200316,2024Q1,1.015,T1,65+,Midsize,None,D,10720,2.157,0,2
200317,2023Q1,1.114,T2,40-64,SUV,None,C,9975,0.344,0,1
200318,2023Q1,0.742,T2,<25,SUV,None,A,15438,2.076,0,0
200319,2023Q1,1.396,T3,<25,Compact,None,C,14275,0.398,0,0
200320,2023Q4,1.309,T5,25-39,SUV,None,C,13802,2.89,0,0
200321,2023Q2,1.359,T4,<25,Pickup,None,B,15359,1.872,0,0
200322,2023Q1,0.957,T5,25-39,SUV,None,D,15571,1.989,0,1
200323,2023Q3,1.316,T4,25-39,Pickup,None,A,8871,0.681,0,0
200324,2023Q2,1.169,T4,40-64,Compact,Major,D,12275,3.457,3,0
200325,2023Q4,0.594,T5,25-39,Compact,None,D,10266,0.735,0,0
200326,2023Q1,0.513,T1,40-64,Compact,Minor,A,15788,3.375,1,1
200327,2024Q1,1.44,T5,40-64,Compact,None,A,12482,3.935,0,0
200328,2023Q1,1.04,T4,40-64,Midsize,None,C,12305,3.108,0,0
200329,2024Q1,1.234,T1,<25,Pickup,Minor,B,11940,3.351,1,1
200330,2023Q2,0.662,T4,<25,SUV,Minor,A,15853,3.386,1,0
200331,2023Q4,1.198,T1,25-39,SUV,None,B,9908,4.13,0,0
200332,2023Q2,1.151,T1,65+,Compact,None,C,8798,1.059,0,0
200333,2023Q1,1.402,T3,25-39,Compact,None,D,13783,2.03,0,0
200334,2023Q1,0.804,T1,<25,SUV,None,B,7805,3.629,0,0
200335,2023Q2,0.864,T1,25-39,Midsize,Major,D,10626,4.799,3,0
200336,2024Q1,1.115,T5,40-64,SUV,None,D,13453,3.676,0,2
200337,2023Q2,1.38,T1,65+,SUV,None,B,10605,4.597,0,0
200338,2024Q1,0.769,T4,<25,Pickup,Minor,A,16818,3.279,1,0
200339,2023Q4,0.596,T1,65+,Midsize,Minor,A,9961,1.392,1,0
200340,2024Q1,0.825,T3,65+,SUV,None,C,8291,1.91,0,1
200341,2023Q1,1.138,T2,25-39,Pickup,None,A,15441,2.068,0,0
200342,2023Q1,1.497,T4,65+,SUV,None,D,9538,1.602,0,1
200343,2024Q1,0.673,T5,65+,SUV,Minor,A,13411,0.912,1,0
200344,2023Q1,1.311,T1,25-39,Midsize,None,C,14181,3.395,0,0
200345,2023Q4,0.725,T1,<25,Midsize,None,A,7784,3.17,0,0
200346,2023Q2,1.014,T1,<25,Midsize,None,B,11076,3.713,0,1
200347,2024Q1,1.249,T4,<25,SUV,None,B,10914,0.644,0,0
200348,2023Q3,0.608,T2,40-64,Midsize,None,C,12976,3.033,0,0
200349,2023Q1,1.297,T3,65+,Pickup,Minor,C,14039,3.671,1,0
